PointName,TouristZone,PointType,ServiceClass,Latitude,Longitude,OpenDate,CloseDate,DaysMax,DaysMin,TouristsCount,AvPointPrice,NeedGuide,WorkersCount,TransportType,Tourists2022,Tourists2021,Tourists2020,Tourists2019,Tourists2018,Tourists2017,Tourists2016
"Архитектурный парк ""Кенозерские бирюльки""",Кенозерский национальный парк,Достопримечательность,Недифференцирован,61.826373,38.038237,круглогодично,круглогодично,1,1,43,2,нет,43,Автомобиль.автобус,43,43,43,43,43,43,43
Водяная мельница в деревне Зехнова,Кенозерский национальный парк,Достопримечательность,Недифференцирован,61.982013,38.253036,круглогодично,круглогодично,1,1,44,2,нет,44,Автомобиль.автобус,44,44,44,44,44,44,44
"Национальный парк ""Кенозерский""",Кенозерский национальный парк,Нац. парк,Недифференцирован,61.779822,38.253339,круглогодично,круглогодично,15,1,45,2,нет,45,Автомобиль.автобус,45,45,45,45,45,45,45
Почезерский погост,Кенозерский национальный парк,Достопримечательность,Недифференцирован,62.217572,38.242901,круглогодично,круглогодично,1,1,46,2,нет,46,Автомобиль.автобус,46,46,46,46,46,46,46
Фрагмент континентального водороздела в Кенозерье,Кенозерский национальный парк,Достопримечательность,Недифференцирован,61.770776,38.049337,круглогодично,круглогодично,1,1,47,2,нет,47,Автомобиль.автобус,47,47,47,47,47,47,47
Церковь Успения Пресвятой Богородицы в Вершинино,Кенозерский национальный парк,Достопримечательность,Недифференцирован,62.075807,38.181049,круглогодично,круглогодично,1,1,48,2,нет,48,Автомобиль.автобус,48,48,48,48,48,48,48
Часовня Николая Чудотворца в Вершинино,Кенозерский национальный парк,Достопримечательность,Недифференцирован,62.078427,38.198804,круглогодично,круглогодично,1,1,49,2,нет,49,Автомобиль.автобус,49,49,49,49,49,49,49
Дом-музей Н.Г. Кузнецова,Котласский район,Музей,Недифференцирован,61.055146,46.615435,круглогодично,круглогодично,1,1,50,2,нет,50,Автомобиль.автобус,50,50,50,50,50,50,50
Коряжемский Николаевский монастырь,Котласский район,Достопримечательность,Недифференцирован,61.315631,47.188923,круглогодично,круглогодично,1,1,51,2,да,51,Автомобиль.автобус,51,51,51,51,51,51,51
Котласский краеведческий музей,Котласский район,Музей,Недифференцирован,61.260602,46.628384,круглогодично,круглогодично,1,1,52,2,нет,52,Автомобиль.автобус,52,52,52,52,52,52,52
Памятный информационный камень на месте раскопок палеонтолога В.П. Амалицкого,Котласский район,Этнический центр,Недифференцирован,61.145714,46.644500,круглогодично,круглогодично,1,1,53,2,нет,53,Автомобиль.автобус,53,53,53,53,53,53,53
Дом-усадьба художника А. Борисова,Красноборский район,Музей,Недифференцирован,61.537149,46.024354,круглогодично,круглогодично,1,1,54,2,да,54,Автомобиль.автобус,54,54,54,54,54,54,54
Красноборский историко-мемориальный и художественный музей имени С.И. Тупицына,Красноборский район,Музей,Недифференцирован,61.559635,45.940148,круглогодично,круглогодично,1,1,55,2,нет,55,Автомобиль.автобус,55,55,55,55,55,55,55
с. Черевково,Красноборский район,Достопримечательность,Недифференцирован,61.780900,45.278935,круглогодично,круглогодично,15,1,56,2,нет,56,Автомобиль.автобус,56,56,56,56,56,56,56
"Санаторий ""Солониха""",Красноборский район,Санаторий,Недифференцирован,61.509683,45.998683,круглогодично,круглогодично,15,1,57,2,нет,57,Автомобиль.автобус,57,57,57,57,57,57,57
Резиденция Матушки Зимы,Ленский район,Детский туризм,Недифференцирован,62.172214,49.078397,круглогодично,круглогодично,1,1,58,2,нет,58,Автомобиль.автобус,58,58,58,58,58,58,58
Церковь во имя Всех Святых (Яренск),Ленский район,Достопримечательность,Недифференцирован,62.172591,49.101592,круглогодично,круглогодично,1,1,59,2,нет,59,Автомобиль.автобус,59,59,59,59,59,59,59
Лешуконский дом ремёсел,Лешуконский район,Этнический центр,Недифференцирован,64.900670,45.763164,круглогодично,круглогодично,1,1,60,2,нет,60,Автомобиль.автобус,60,60,60,60,60,60,60
Мезенский историко-краеведческий музей,Мезенский район,Музей,Недифференцирован,65.840800,44.246118,круглогодично,круглогодично,1,1,61,2,нет,61,Автомобиль.автобус,61,61,61,61,61,61,61
"Музей ""Короля лыж"" В.С. Кузина",Мезенский район,Музей,Недифференцирован,65.572896,44.606834,круглогодично,круглогодично,1,1,62,2,нет,62,Автомобиль.автобус,62,62,62,62,62,62,62
Музей мельниц,Мезенский район,Музей,Недифференцирован,65.573143,44.607297,круглогодично,круглогодично,1,1,63,2,нет,63,Автомобиль.автобус,63,63,63,63,63,63,63
Одигитриевская церковь в Кимже,Мезенский район,Музей,Недифференцирован,65.571011,44.606233,круглогодично,круглогодично,1,1,64,2,нет,64,Автомобиль.автобус,64,64,64,64,64,64,64
"Национальный парк ""Онежское Поморье""","Национальный парк ""Онежское Поморье""",Нац. парк,Недифференцирован,64.970226,37.204318,круглогодично,круглогодично,15,1,65,2,нет,65,Автомобиль.автобус,65,65,65,65,65,65,65
"""Дом Няна"",краеведческий центр",Няндомский район,Достопримечательность,Недифференцирован,61.663596,40.204070,круглогодично,круглогодично,1,1,66,2,да,66,Внедорожник,66,66,66,66,66,66,66
Белое море,Онежский район,Водный туризм,Недифференцирован,65.961796,38.429728,круглогодично,круглогодично,15,1,67,2,нет,67,Автомобиль.автобус,67,67,67,67,67,67,67
Вознесенская церковь и колокольня в Пияле,Онежский район,Достопримечательность,Недифференцирован,63.461038,39.067961,круглогодично,круглогодично,1,1,68,2,нет,68,Автомобиль.автобус,68,68,68,68,68,68,68
Деревянный храм Зосимы и Савватия Соловецких (XIX век) и деревянный тройник (XVII - XVIII век),Онежский район,Достопримечательность,Недифференцирован,63.943525,37.698328,круглогодично,круглогодично,1,1,69,2,нет,69,Внедорожник,69,69,69,69,69,69,69
Дом-музей полярного исследователя Александра Кучина,Онежский район,Музей,Недифференцирован,63.907730,38.120311,круглогодично,круглогодично,1,1,70,2,нет,70,Автомобиль.автобус,70,70,70,70,70,70,70
Кий-остров в Белом море,Онежский район,Достопримечательность,Недифференцирован,64.002149, 37.883535,круглогодично,круглогодично,15,1,71,2,нет,71,Автомобиль.автобус,71,71,71,71,71,71,71
Крестный монастырь на острове Кий,Онежский район,Достопримечательность,Недифференцирован,63.998502,37.890115,круглогодично,круглогодично,1,1,72,2,нет,72,Водный,72,72,72,72,72,72,72
Онежский историко-мемориальный музей,Онежский район,Музей,Недифференцирован,63.900479,38.115364,круглогодично,круглогодично,1,1,73,2,нет,73,Водный,73,73,73,73,73,73,73
Поморское село Ворзогоры,Онежский район,Достопримечательность,Недифференцирован,63.891788,37.671363,круглогодично,круглогодично,15,1,74,2,нет,74,Автомобиль.автобус,74,74,74,74,74,74,74
Свято-Богоявленский Кожеозерский монастырь,Онежский район,Достопримечательность,Недифференцирован,63.158198,38.083091,круглогодично,круглогодично,1,1,75,2,нет,75,Водный,75,75,75,75,75,75,75
Дом пинежской прялки,Пинежский район,Музей,Недифференцирован,64.683739, 43.385266,круглогодично,круглогодично,1,1,76,2,нет,76,Автомобиль.автобус,76,76,76,76,76,76,76
Карпогорский районный Дом народного творчества,Пинежский район,Этнический центр,Недифференцирован,63.999392,44.442234,круглогодично,круглогодично,1,1,77,2,нет,77,Автомобиль.автобус,77,77,77,77,77,77,77
Музей Карста,Пинежский район,Музей,Недифференцирован,64.848395, 44.076387,круглогодично,круглогодично,1,1,78,2,нет,78,Автомобиль.автобус,78,78,78,78,78,78,78
Свято-Артемиево-Веркольский Мужской монастырь,Пинежский район,Достопримечательность,Недифференцирован,63.797673, 45.160274,круглогодично,круглогодично,1,1,79,2,нет,79,Автомобиль.автобус,79,79,79,79,79,79,79
Семейный музей Абрамовых (Семейный музей в доме брата Ф. Абрамова – Михаила),Пинежский район,Музей,Недифференцирован,63.803191,45.139203,круглогодично,круглогодично,1,1,80,2,нет,80,Автомобиль.автобус,80,80,80,80,80,80,80
Сурский Иоанновский женский монастырь,Пинежский район,Достопримечательность,Недифференцирован,63.576403,45.636010,круглогодично,круглогодично,1,1,81,2,нет,81,Автомобиль.автобус,81,81,81,81,81,81,81
Церковь Покрова Пресвятой Богородицы в д. Шотова,Пинежский район,Достопримечательность,Недифференцирован,64.012063,44.337733,круглогодично,круглогодично,1,1,82,2,нет,82,Автомобиль.автобус,82,82,82,82,82,82,82
Коношский краеведческий музей,пос. Коноша,Музей,Недифференцирован,60.974465,40.254381,круглогодично,круглогодично,1,1,83,2,нет,83,Автомобиль.автобус,83,83,83,83,83,83,83
Коношский районный краеведческий музей,пос. Коноша,Музей,Недифференцирован,60.974429,40.254307,круглогодично,круглогодично,1,1,84,2,нет,84,Автомобиль.автобус,84,84,84,84,84,84,84
"Музейно-выставочное пространство ""Иосиф Бродский в Норенской""",пос. Коноша,Музей,Недифференцирован,60.934555,40.674706,круглогодично,круглогодично,1,1,85,2,нет,85,Автомобиль.автобус,85,85,85,85,85,85,85
"""Малые Корелы"",музей деревянного зодчества",Приморский район,Музей,Недифференцирован,64.453161,40.945090,круглогодично,круглогодично,1,1,86,2,нет,86,Автомобиль.автобус,86,86,86,86,86,86,86
Аэропорт-музей в деревне Лопшеньга,Приморский район,Музей,Недифференцирован,64.984324,37.710701,круглогодично,круглогодично,1,1,87,2,нет,87,Автомобиль.автобус,87,87,87,87,87,87,87
Дом Сени Малины,Приморский район,Достопримечательность,Недифференцирован,64.477736,40.873168,круглогодично,круглогодично,1,1,88,2,нет,88,Самолет,88,88,88,88,88,88,88
Музей Лоцманской славы,Приморский район,Достопримечательность,Недифференцирован,64.595441,40.437487,круглогодично,круглогодично,1,1,89,2,нет,89,Автомобиль.автобус,89,89,89,89,89,89,89
Музей народных промыслов и ремесел Приморья,Приморский район,Музей,Недифференцирован,64.477552,40.847891,круглогодично,круглогодично,1,1,90,2,нет,90,Автомобиль.автобус,90,90,90,90,90,90,90
Музей поморской варежки,Приморский район,Музей,Недифференцирован,64.416813,40.806877,круглогодично,круглогодично,1,1,91,2,нет,91,Автомобиль.автобус,91,91,91,91,91,91,91
"Санаторий ""Беломорье""",Приморский район,Санаторий,Недифференцирован,64.294588,40.888114,круглогодично,круглогодично,15,1,92,2,нет,92,Автомобиль.автобус,92,92,92,92,92,92,92
Свято-Троицкий Антониево-Сийский мужской монастырь,Приморский район,Достопримечательность,Недифференцирован,63.581279,42.090065,круглогодично,круглогодично,1,1,251,2500,нет,30,Автомобиль.автобус,30,30,30,30,30,30,30
Храм Вознесения Господня,Приморский район,Достопримечательность,Недифференцирован,64.577047,40.341310,круглогодично,круглогодично,1,1,252,2,нет,31,Автомобиль.автобус,31,31,31,31,31,31,31
Храмовый ансамбль в селе Нёнокса,Приморский район,Достопримечательность,Недифференцирован,64.620519,39.191683,круглогодично,круглогодично,1,1,253,2,да,32,Автомобиль.автобус,32,32,32,32,32,32,32
Яреньгский музей «Поморская изба»,Приморский район,Достопримечательность,Недифференцирован,66.706467,34.625890,круглогодично,круглогодично,1,1,254,2,да,33,Автомобиль.автобус,33,33,33,33,33,33,33
Остров Ягры,Северодвинск,Обзорная площадка,Недифференцирован,64.618820, 39.825897,круглогодично,круглогодично,1,1,255,2,нет,34,Автомобиль.автобус,34,34,34,34,34,34,34
Северодвинский драматический театр,Северодвинск,театр,Недифференцирован,64.551727, 39.795789,круглогодично,круглогодично,1,1,256,2,нет,35,Автомобиль.автобус,35,35,35,35,35,35,35
Северодвинский краеведческий музей,Северодвинск,Музей,Недифференцирован,64.623892,39.281036,круглогодично,круглогодично,1,1,257,2,нет,36,Автомобиль.автобус,36,36,36,36,36,36,36
Голгофо-Распятский скит,Соловецкий Архипелаг,Достопримечательность,Недифференцирован,65.146848,36.048290,круглогодично,круглогодично,1,1,258,2,нет,37,Автомобиль.автобус,37,37,37,37,37,37,37
Каменные лабиринты на Большом Соловецком острове,Соловецкий Архипелаг,Достопримечательность,Недифференцирован,65.091927, 35.703791,круглогодично,круглогодично,1,1,259,2,нет,38,Самолет,38,38,38,38,38,38,38
Каменные лабиринты на о. Анзерский (Соловецкие острова),Соловецкий Архипелаг,Достопримечательность,Недифференцирован,65.158180, 36.067384,круглогодично,круглогодично,1,1,260,2,нет,39,Самолет,39,39,39,39,39,39,39
Каменные лабиринты на о. Большой Заяцкий (Соловецкие острова),Соловецкий Архипелаг,Достопримечательность,Недифференцирован,64.971069,35.674754,круглогодично,круглогодично,1,1,261,2,нет,40,Самолет,40,40,40,40,40,40,40
Савватиевский скит,Соловецкий Архипелаг,Достопримечательность,Недифференцирован,65.117688,35.605541,круглогодично,круглогодично,1,1,262,2,нет,41,Самолет,41,41,41,41,41,41,41
Свято-Троицкий Анзерский скит,Соловецкий Архипелаг,Достопримечательность,Недифференцирован,65.161048,36.015218,круглогодично,круглогодично,1,1,263,2,нет,42,Самолет,42,42,42,42,42,42,42
Соловецкий кремль,Соловецкий Архипелаг,Достопримечательность,Недифференцирован,65.028143,35.713637,круглогодично,круглогодично,15,1,264,2,нет,43,Самолет,43,43,43,43,43,43,43
Соловецкий морской музей,Соловецкий Архипелаг,Музей,Недифференцирован,65.024364,35.705865,круглогодично,круглогодично,1,1,265,2,нет,44,Самолет,44,44,44,44,44,44,44
Центральный ансамбль Соловецкого монастыря,Соловецкий Архипелаг,Достопримечательность,Недифференцирован,65.024281,35.717365,круглогодично,круглогодично,1,1,266,2,нет,45,Самолет,45,45,45,45,45,45,45
Благовещенский собор (XVI в.),экспозиционный комплекс,Сольвычегодск,Музей,Недифференцирован,61.327791,46.924626,круглогодично,круглогодично,1,1,267,2,нет,46,Самолет,46,46,46,46,46,46,46
Введенский собор,Сольвычегодск,Достопримечательность,Недифференцирован,61.333007,46.928389,круглогодично,круглогодично,1,1,268,2,нет,47,Автомобиль.автобус,47,47,47,47,47,47,47
Дом купцов Пьянковых (I пол. XIX в.),Сольвычегодск,Музей,Недифференцирован,61.331277,46.932067,круглогодично,круглогодично,1,1,269,2,нет,48,Автомобиль.автобус,48,48,48,48,48,48,48
Литературная усадьба и музей Козьмы Пруткова,Сольвычегодск,Достопримечательность,Недифференцирован,61.331288,46.929015,круглогодично,круглогодично,1,1,270,2,нет,49,Автомобиль.автобус,49,49,49,49,49,49,49
Музей политической ссылки (музей И.В. Сталина),Сольвычегодск,Музей,Недифференцирован,61.331951,46.934791,круглогодично,круглогодично,1,1,271,2,нет,50,Автомобиль.автобус,50,50,50,50,50,50,50
"Санаторий ""Сольвычегодск""",Сольвычегодск,Санаторий,Недифференцирован,61.331642,46.931559,круглогодично,круглогодично,15,1,272,2,нет,51,Автомобиль.автобус,51,51,51,51,51,51,51
Сольвычегодский историко-художественный музей,Сольвычегодск,Музей,Недифференцирован,61.330122,46.931293,круглогодично,круглогодично,1,1,273,2,нет,52,Автомобиль.автобус,52,52,52,52,52,52,52
"Экспозиционно-выставочный комплекс ""Дом купцов Хаминовых""",Сольвычегодск,Музей,Недифференцирован,61.330416,46.928978,круглогодично,круглогодично,1,1,274,2,нет,53,Автомобиль.автобус,53,53,53,53,53,53,53
Этнографический комплекс «Мастерская народных ремесел»,Сольвычегодск,Этнический центр,Недифференцирован,61.333295,46.931113,круглогодично,круглогодично,1,1,275,2,нет,54,Автомобиль.автобус,54,54,54,54,54,54,54
"""Малиновка"",Центр активного отдыха",Устьянский район,Горнолыжный курорт,Недифференцирован,61.124728,43.357443,круглогодично,круглогодично,15,1,276,2,нет,55,Автомобиль.автобус,55,55,55,55,55,55,55
Устьянский краеведческий музей,Устьянский район,Музей,Недифференцирован,61.090365,43.162053,круглогодично,круглогодично,1,1,277,2,нет,56,Автомобиль.автобус,56,56,56,56,56,56,56
Устьянский центр народного творчества,Устьянский район,Этнический центр,Недифференцирован,61.111688,43.292886,круглогодично,круглогодично,1,1,278,2,нет,57,Автомобиль.автобус,57,57,57,57,57,57,57
Историко-мемориальный музей М.В. Ломоносова,Холмогорский район,Достопримечательность,Недифференцирован,64.230249,41.733645,круглогодично,круглогодично,1,1,279,2,нет,58,Автомобиль.автобус,58,58,58,58,58,58,58
Село Ломоносово,Холмогорский район,Достопримечательность,Недифференцирован,64.229381, 41.732359,круглогодично,круглогодично,1,1,280,2,нет,59,Автомобиль.автобус,59,59,59,59,59,59,59
Фабрика Холмогорской резьбы по кости,Холмогорский район,Этнический центр,Недифференцирован,64.230262,41.733516,круглогодично,круглогодично,1,1,281,2,нет,60,Автомобиль.автобус,60,60,60,60,60,60,60
Церковь Димитрия Солунского,с. Ломоносово,Холмогорский район,Достопримечательность,Недифференцирован,64.231626,41.739181,круглогодично,круглогодично,1,1,282,2,нет,61,Автомобиль.автобус,61,61,61,61,61,61,61
Шенкурский районный краеведческий музей,Шенкурский район,Достопримечательность,Недифференцирован,62.103525,42.902558,круглогодично,круглогодично,1,1,283,2,нет,62,Автомобиль.автобус,62,62,62,62,62,62,62
